LabelPath,Conversations,ProposedAction,Notes
*INBOX*,0,Keep,
*INBOX* / AI,122,,
*INBOX* / AI / ChatGPT,37,Kill,
*INBOX* / AI-Mastery-Cohort,1,Kill,
*INBOX* / AI-workflows,1,Kill,
*INBOX* / vibe-marketing,1,Kill,
*INBOX* / Break An Egg,29,Keep,
*INBOX* / HARO,52,Keep,
*INBOX* / Indy Acquisitions,1014,Keep,
*INBOX* / News,1499,Keep,
*PROJECTS*,0,Keep,
*PROJECTS* / AI-Cohort,1,Kill,
*PROJECTS* / Cecilia,13,Archive,
*PROJECTS* / Kevin-Marketing,3,Archive,
*PROJECTS* / LUCS AI,1,Archive,
*PROJECTS* / MRR Method,1,Keep,
*PROJECTS* / Networking,6,Keep,
*PROJECTS* / REIT,17,Keep,
*PROJECTS* / REIT / REIT Project Review,8,Keep,
,,,
*PROJECTS* / REIT / Fortville,19,Keep,
*PROJECTS* / Triarch,2,Kill,
*PROJECTS* / Watch Later,6,I should have this somewhere else.  This is a holder for things I’d like to come back to,
⏰ Timely,0,Kill,
✅ Todo,0,Kill,
✉️ All Briefs,1,Kill,
✒️ Needs Response,0,Kill,
,,,
,,,
📥 Next Brief,0,Kill,
Client Work,2,Kill,
copyclub,8,Kill,
Arborist,3,Archive,
Arts and education,155,Kill,
Book Writing,6,Archive,
Cole,15,Kill,
courses,77,Keep,
courses / 100 days of No Code,54,Keep,
,,Keep,
courses / AI-Enhanced Human,8,Keep,
courses / connection codes,13,Keep,
courses / Extra Focus (ADHD),6,Keep,
courses / GrowWrite,12,Keep,
,,,
courses / MFP: 25 days to 100k,27,Keep,
courses / Quiet-Builder,2,Keep,
courses / Zack Zeller,1,Kill,
dan@themeaningmovement.com,1493,,
Deleted Messages,0,,
encouragement,3,Keep,
family,915,Kill,
friends,772,Kill,
Growth Hacking,2,Kill,
hospital,3,Kill,
,,,
IMPORTANT Records,2,Kill,
Job Search - 2023,5,Kill,
Job Search - 2023 / Job-No-Thanks,76,Kill,
Job Search - 2023 / Job Search Insight,1,Kill,
Junk (Gmail),1,Kill,
kettlebells,14,Keep,
Launch Sequences,39,Kill,
Notes,0,Kill,
PE Scale,26,Kill,
Real Estate,24,Kill,
Real Estate / Flip,23,Kill,
Real Estate / Get Up Stays,19,Kill,
Real Estate / syndication,11,Kill,
Real Estate / syndication / Syndication Research,6,Kill,
receipt,178,Kill,
Research,0,,
Research / Life Insurance,3,Kill,
Semrush,22,Kill,
sparkfly,183,Kill,
sparkfly / hiring,14,Kill,
sparkfly / airbnb,62,Kill,
TMM,5,Kill,
TMM / 5 Clues Mini-Course,28,Kill,
TMM / 5 Clues Mini-Course / 5 Clues Feedback,40,Archive,
TMM / biggest fear,64,Archive,
TMM / future builder - members,2,Kill,
TMM / future builder - members / future builder feedback,37,Kill,
TMM / guest posting,4,Kill,
TMM / job fit crash course,5,Kill,
,,,
,,,
TMM / Speaking,1,Kill,
TMM / struggle,20,Archive,
TMM / swipes,33,Keep - give a new name.  This is for general swipe inspiration,
TMM / TMM accelerator,1,Kill,
TMM / tmm feedback,15,Kill,
TMM / tmm podcast,4,Kill,
TMM / tmm podcast / pitch,39,Kill,
Travel Info,1,Kill,
Travel Info / Merida,6,Kill,
tree service,4,Keep - merge with Arborist tag,
twitter & linkedin,14,Kill,
twitter & linkedin / Luke Matthews,2,Merge with Swipes,
twitter & linkedin / Social Swipes,4,Merge with Swipes,
vehicles,54,Kill,
vocation,6,Kill,
